ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	term	set
GO:0048863	stem cell differentiation	39/921	248/18903	8.81713046424632e-11	4.69247683307189e-07	3.9537869239673e-07	BCL2/CDH2/CDK6/CHD2/CITED2/CORO1C/GSK3B/HES1/HMGA2/HNRNPU/ITGB1/JAG1/KITLG/LRP6/MAPK1/MEF2C/MSI2/NFE2L2/NOTCH1/NRP2/PRKDC/PTN/RBPJ/SEMA3A/SEMA3B/SEMA3E/SETD6/SOX10/SOX11/SOX21/SOX6/SOX9/SRF/STAT3/TBX2/TP53/TP63/TWIST1/ZFP36L2	39	GO Biological Process	co_bound_SE_genes
GO:0060485	mesenchyme development	43/921	313/18903	7.90956019677481e-10	2.10473396836178e-06	1.7734066546453e-06	ACTG2/BCL2/BCL9L/BNC2/CDH2/CITED2/CLASP1/CORO1C/DDX17/EPHA3/FUZ/GSK3B/HAS2/HES1/HEY1/HMGA2/JAG1/KITLG/LRP6/MAPK1/MEF2C/MYC/NOTCH1/NRP2/POFUT2/RBPJ/RTN4/SEMA3A/SEMA3B/SEMA3E/SMAD7/SOX10/SOX11/SOX9/SPRED1/SPRED2/SPRY1/SPRY2/TBX2/TWIST1/WWTR1/ZFP36L1/ZFPM2	43	GO Biological Process	co_bound_SE_genes
GO:0048762	mesenchymal cell differentiation	37/921	252/18903	1.91797370051457e-09	3.39426719782747e-06	2.85994150650627e-06	BCL2/BCL9L/CDH2/CITED2/CLASP1/CORO1C/DDX17/EPHA3/FUZ/GSK3B/HAS2/HES1/HEY1/HMGA2/JAG1/KITLG/LRP6/MAPK1/MEF2C/NOTCH1/NRP2/POFUT2/RBPJ/RTN4/SEMA3A/SEMA3B/SEMA3E/SMAD7/SOX10/SOX11/SOX9/SPRED1/SPRED2/SPRY1/SPRY2/TWIST1/WWTR1	37	GO Biological Process	co_bound_SE_genes
GO:0090130	tissue migration	47/921	374/18903	2.55112153162531e-09	3.39426719782747e-06	2.85994150650627e-06	ACTG2/ADAMTS9/ADTRP/ATOH8/BCAR1/BCAS3/BMPER/CLASP1/CORO1C/EFNB2/ETS1/FGF1/GADD45A/HAS2/HDAC9/HSPB1/ID1/IRS2/ITGB1/JUN/KANK1/KITLG/KLF4/MEF2C/NFE2L2/NOTCH1/NRP2/PIK3R3/PPM1F/PRKCA/PTN/PXN/RAB11A/RHOB/RHOJ/RIN2/RTN4/S100A2/SCARB1/SCG2/SOX9/SP1/SPARC/SPRED1/SRF/STARD13/STAT5A	47	GO Biological Process	co_bound_SE_genes
GO:0010631	epithelial cell migration	46/921	366/18903	3.7602873063126e-09	4.00244980883913e-06	3.37238398418772e-06	ADAMTS9/ADTRP/ATOH8/BCAR1/BCAS3/BMPER/CLASP1/CORO1C/EFNB2/ETS1/FGF1/GADD45A/HAS2/HDAC9/HSPB1/ID1/IRS2/ITGB1/JUN/KANK1/KITLG/KLF4/MEF2C/NFE2L2/NOTCH1/NRP2/PIK3R3/PPM1F/PRKCA/PTN/PXN/RAB11A/RHOB/RHOJ/RIN2/RTN4/S100A2/SCARB1/SCG2/SOX9/SP1/SPARC/SPRED1/SRF/STARD13/STAT5A	46	GO Biological Process	co_bound_SE_genes
GO:0090132	epithelium migration	46/921	369/18903	4.8779677750427e-09	4.32675741646287e-06	3.64563907397928e-06	ADAMTS9/ADTRP/ATOH8/BCAR1/BCAS3/BMPER/CLASP1/CORO1C/EFNB2/ETS1/FGF1/GADD45A/HAS2/HDAC9/HSPB1/ID1/IRS2/ITGB1/JUN/KANK1/KITLG/KLF4/MEF2C/NFE2L2/NOTCH1/NRP2/PIK3R3/PPM1F/PRKCA/PTN/PXN/RAB11A/RHOB/RHOJ/RIN2/RTN4/S100A2/SCARB1/SCG2/SOX9/SP1/SPARC/SPRED1/SRF/STARD13/STAT5A	46	GO Biological Process	co_bound_SE_genes
GO:0001667	ameboidal-type cell migration	54/921	492/18903	2.09646683022001e-08	1.47305813846145e-05	1.2411692616242e-05	ADAMTS9/ADTRP/AMOTL1/ATOH8/BCAR1/BCAS3/BMPER/CDH2/CLASP1/CORO1C/EFNB2/ETS1/FGF1/GADD45A/HAS2/HDAC9/HSPB1/ID1/IRS2/ITGB1/JUN/KANK1/KITLG/KLF4/MEF2C/NFE2L2/NOTCH1/NRP2/PIK3R3/PPM1F/PRKCA/PTN/PXN/RAB11A/RHOB/RHOJ/RIN2/RTN4/S100A2/SCARB1/SCG2/SEMA3A/SEMA3B/SEMA3E/SOX10/SOX9/SP1/SPARC/SPRED1/SRF/STARD13/STAT5A/TNS1/TWIST1	54	GO Biological Process	co_bound_SE_genes
GO:0045936	negative regulation of phosphate metabolic process	50/921	440/18903	2.31443966243231e-08	1.47305813846145e-05	1.2411692616242e-05	AJUBA/AKT1S1/CALM1/CALM2/CALM3/CDK5RAP2/CDK5RAP3/CORO1C/DUSP1/DUSP6/DUSP7/ERRFI1/GADD45A/GADD45B/GNAI2/GRB10/GSK3B/HDAC4/HEXIM1/HEXIM2/HNRNPU/HSPB1/INSM1/IRS2/JUN/LGALS3/LPCAT1/LPIN1/LRP6/MIDN/PMEPA1/PPARA/PPM1F/PRKDC/PTPA/PTPN1/SLC27A1/SMAD7/SOCS3/SORL1/SPRED1/SPRED2/SPRY1/SPRY2/SPRY4/STAT3/TP53/TRIB2/WWTR1/YWHAG	50	GO Biological Process	co_bound_SE_genes
GO:0010563	negative regulation of phosphorus metabolic process	50/921	441/18903	2.49107915185139e-08	1.47305813846145e-05	1.2411692616242e-05	AJUBA/AKT1S1/CALM1/CALM2/CALM3/CDK5RAP2/CDK5RAP3/CORO1C/DUSP1/DUSP6/DUSP7/ERRFI1/GADD45A/GADD45B/GNAI2/GRB10/GSK3B/HDAC4/HEXIM1/HEXIM2/HNRNPU/HSPB1/INSM1/IRS2/JUN/LGALS3/LPCAT1/LPIN1/LRP6/MIDN/PMEPA1/PPARA/PPM1F/PRKDC/PTPA/PTPN1/SLC27A1/SMAD7/SOCS3/SORL1/SPRED1/SPRED2/SPRY1/SPRY2/SPRY4/STAT3/TP53/TRIB2/WWTR1/YWHAG	50	GO Biological Process	co_bound_SE_genes
GO:0001701	in utero embryonic development	44/921	393/18903	2.46534407457235e-07	0.000131205611648741	0.000110551218501876	ADAMTS3/ADM/BCL2L11/CAPN2/CEBPB/CITED2/CUL3/DAD1/DBN1/DNAJB6/EMG1/FOSL1/FOXD3/HES1/HEY1/HM13/ITGB1/KLF4/MAFG/MAN2A1/MAPK1/MATR3/MBNL1/MYO1E/NOTCH1/PRDM1/PTCH1/RBPJ/RPL7L1/RTN4/SOCS3/SOX10/SPECC1/SRF/TBL1XR1/TP53/TTLL4/TWIST1/UNK/WDR74/WNT7B/ZFP36L1/ZFPM2/ZNF335	44	GO Biological Process	co_bound_SE_genes
